term,origin
working remotely,OECD
working from home,OECD
work remotely,OECD
work from home,OECD
work at home,OECD
teleworking,OECD
telework,OECD
telecommuting,OECD
telecommute,OECD
smartworking,OECD
smart working,OECD
remote work,OECD
homeoffice,OECD
home office,OECD
home based,OECD
homebased,OECD extension
home working,Draca et al.
homeworking,Draca et al.
home work,Draca et al.
conducted remotely,Draca et al.
virtual job,Draca et al.
hybrid job,extension
hybrid position,extension
